utt subset label predict
CON_E_0010673.wav eval spoof spoof
CON_E_0059719.wav eval spoof bonafide
LA_E_1002903.wav eval bonafide spoof
LA_E_1003128.wav eval bonafide spoof
LA_E_1004363.wav eval bonafide spoof
LA_E_1005795.wav eval bonafide spoof
LA_E_1007872.wav eval bonafide spoof
LA_E_1008476.wav eval bonafide spoof
LA_E_1010349.wav eval bonafide spoof
LA_E_1011807.wav eval bonafide spoof
LA_E_1015629.wav eval bonafide spoof
LA_E_1017049.wav eval bonafide spoof
LA_E_1018975.wav eval bonafide spoof
LA_E_1022511.wav eval bonafide spoof
LA_E_1023303.wav eval bonafide spoof
LA_E_1023447.wav eval bonafide spoof
LA_E_1023824.wav eval bonafide spoof
LA_E_1024164.wav eval bonafide spoof
LA_E_1024417.wav eval bonafide spoof
LA_E_1025393.wav eval bonafide spoof
LA_E_1026533.wav eval bonafide spoof
LA_E_1027220.wav eval bonafide spoof
LA_E_1030819.wav eval bonafide spoof
LA_E_1033108.wav eval bonafide spoof
LA_E_1033230.wav eval bonafide spoof
LA_E_1034926.wav eval bonafide spoof
LA_E_1039348.wav eval bonafide spoof
LA_E_1039881.wav eval bonafide spoof
LA_E_1040380.wav eval bonafide spoof
LA_E_1044611.wav eval bonafide spoof
LA_E_1044956.wav eval bonafide spoof
LA_E_1045547.wav eval bonafide spoof
LA_E_1045785.wav eval bonafide spoof
LA_E_1046103.wav eval bonafide spoof
LA_E_1046597.wav eval bonafide spoof
LA_E_1047085.wav eval bonafide spoof
LA_E_1047198.wav eval bonafide spoof
LA_E_1048407.wav eval bonafide spoof
LA_E_1048677.wav eval bonafide spoof
LA_E_1053619.wav eval bonafide spoof
LA_E_1053797.wav eval bonafide spoof
LA_E_1054031.wav eval bonafide spoof
LA_E_1054522.wav eval bonafide spoof
LA_E_1055678.wav eval bonafide spoof
LA_E_1056200.wav eval bonafide spoof
LA_E_1057588.wav eval bonafide spoof
LA_E_1061586.wav eval bonafide spoof
LA_E_1064540.wav eval bonafide spoof
LA_E_1066455.wav eval bonafide spoof
LA_E_1066571.wav eval bonafide spoof
LA_E_1066879.wav eval bonafide spoof
LA_E_1070252.wav eval bonafide spoof
LA_E_1070257.wav eval bonafide spoof
LA_E_1071484.wav eval bonafide spoof
LA_E_1072866.wav eval bonafide spoof
LA_E_1073410.wav eval bonafide spoof
LA_E_1073482.wav eval bonafide spoof
LA_E_1073886.wav eval bonafide spoof
LA_E_1077496.wav eval bonafide spoof
LA_E_1077784.wav eval bonafide spoof
LA_E_1078880.wav eval bonafide spoof
LA_E_1079546.wav eval bonafide spoof
LA_E_1080821.wav eval bonafide spoof
LA_E_1082271.wav eval bonafide spoof
LA_E_1083009.wav eval bonafide spoof
LA_E_1083805.wav eval bonafide spoof
LA_E_1086117.wav eval bonafide spoof
LA_E_1087821.wav eval bonafide spoof
LA_E_1089628.wav eval bonafide spoof
LA_E_1091007.wav eval bonafide spoof
LA_E_1092011.wav eval bonafide spoof
LA_E_1093379.wav eval bonafide spoof
LA_E_1094216.wav eval bonafide spoof
LA_E_1095426.wav eval bonafide spoof
LA_E_1096390.wav eval bonafide spoof
LA_E_1097979.wav eval bonafide spoof
LA_E_1098563.wav eval bonafide spoof
LA_E_1100717.wav eval bonafide spoof
LA_E_1102017.wav eval bonafide spoof
LA_E_1103494.wav eval bonafide spoof
LA_E_1106052.wav eval bonafide spoof
LA_E_1106135.wav eval bonafide spoof
LA_E_1107162.wav eval bonafide spoof
LA_E_1109484.wav eval bonafide spoof
LA_E_1109756.wav eval bonafide spoof
LA_E_1110497.wav eval bonafide spoof
LA_E_1111393.wav eval bonafide spoof
LA_E_1112971.wav eval bonafide spoof
LA_E_1114347.wav eval bonafide spoof
LA_E_1115388.wav eval bonafide spoof
LA_E_1116303.wav eval bonafide spoof
LA_E_1118752.wav eval bonafide spoof
LA_E_1118791.wav eval bonafide spoof
LA_E_1121844.wav eval bonafide spoof
LA_E_1122097.wav eval bonafide spoof
LA_E_1123376.wav eval bonafide spoof
LA_E_1125558.wav eval bonafide spoof
LA_E_1125888.wav eval bonafide spoof
LA_E_1126163.wav eval bonafide spoof
LA_E_1129759.wav eval bonafide spoof
LA_E_1131212.wav eval bonafide spoof
LA_E_1133889.wav eval bonafide spoof
LA_E_1133947.wav eval bonafide spoof
LA_E_1136672.wav eval bonafide spoof
LA_E_1137577.wav eval bonafide spoof
LA_E_1137766.wav eval bonafide spoof
LA_E_1139127.wav eval bonafide spoof
LA_E_1139772.wav eval bonafide spoof
LA_E_1140001.wav eval bonafide spoof
LA_E_1140411.wav eval bonafide spoof
LA_E_1140867.wav eval bonafide spoof
LA_E_1143828.wav eval bonafide spoof
LA_E_1144268.wav eval bonafide spoof
LA_E_1145525.wav eval bonafide spoof
LA_E_1145962.wav eval bonafide spoof
LA_E_1145965.wav eval bonafide spoof
LA_E_1147824.wav eval bonafide spoof
LA_E_1148164.wav eval bonafide spoof
LA_E_1149659.wav eval bonafide spoof
LA_E_1151996.wav eval bonafide spoof
LA_E_1152067.wav eval bonafide spoof
LA_E_1152151.wav eval bonafide spoof
LA_E_1154375.wav eval bonafide spoof
LA_E_1157124.wav eval bonafide spoof
LA_E_1159112.wav eval bonafide spoof
LA_E_1159833.wav eval bonafide spoof
LA_E_1159860.wav eval bonafide spoof
LA_E_1161068.wav eval bonafide spoof
LA_E_1161255.wav eval bonafide spoof
LA_E_1161649.wav eval bonafide spoof
LA_E_1162721.wav eval bonafide spoof
LA_E_1163404.wav eval bonafide spoof
LA_E_1164883.wav eval bonafide spoof
LA_E_1165591.wav eval bonafide spoof
LA_E_1165621.wav eval bonafide bonafide
LA_E_1167109.wav eval bonafide spoof
LA_E_1168219.wav eval bonafide spoof
LA_E_1169188.wav eval bonafide spoof
LA_E_1169280.wav eval bonafide spoof
LA_E_1171007.wav eval bonafide spoof
LA_E_1172376.wav eval bonafide spoof
LA_E_1172997.wav eval bonafide spoof
LA_E_1173407.wav eval bonafide spoof
LA_E_1174819.wav eval bonafide spoof
LA_E_1177031.wav eval bonafide spoof
LA_E_1178460.wav eval bonafide spoof
LA_E_1178651.wav eval bonafide spoof
LA_E_1178681.wav eval bonafide spoof
LA_E_1178770.wav eval bonafide spoof
LA_E_1180334.wav eval bonafide spoof
LA_E_1181253.wav eval bonafide spoof
LA_E_1181481.wav eval bonafide spoof
LA_E_1184536.wav eval bonafide spoof
LA_E_1188304.wav eval bonafide spoof
LA_E_1190027.wav eval bonafide spoof
LA_E_1190091.wav eval bonafide spoof
LA_E_1191163.wav eval bonafide spoof
LA_E_1194237.wav eval bonafide spoof
LA_E_1194478.wav eval bonafide spoof
LA_E_1195159.wav eval bonafide spoof
LA_E_1196787.wav eval bonafide spoof
LA_E_1196920.wav eval bonafide spoof
LA_E_1198781.wav eval bonafide spoof
